Colorado (PST) SNOTEL Site Glen Cove - NRCS National Water and Climate Center ,,,,,,,,
,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
1057,10/1/2007,0,0,7,10.6,-5.7,4.3,1
1057,10/2/2007,0,0,3.5,9.2,3.5,7.3,1
1057,10/3/2007,0,0,5.5,9.9,-0.6,4.7,-99.9
1057,10/4/2007,0,0,5.5,14.2,5.4,8.9,0
1057,10/5/2007,0,0,6.3,13.2,5.4,8.2,1
1057,10/6/2007,0,0,7.6,11.3,4.7,7.7,1
1057,10/7/2007,0,0,-0.1,11.7,-0.5,7.1,1
1057,10/8/2007,0,0,-1.2,2,-3.7,-1.4,1
1057,10/9/2007,0,0,5.2,10.8,-1.3,5,1
1057,10/10/2007,0,0.1,4.9,12.9,1.5,7,1
1057,10/11/2007,0,0.1,7.2,12.7,3.2,7.5,0
1057,10/12/2007,0,0.1,7,13.9,2.6,8.4,1
1057,10/13/2007,0,0.1,6.6,12.2,5,7.9,1
1057,10/14/2007,0,0.1,-1.7,8.5,-1.8,3.7,1
1057,10/15/2007,0.3,0.5,-3.3,-1.7,-3.9,-3.1,4
1057,10/16/2007,0.3,0.5,-0.3,3.8,-4.3,-1.1,3
1057,10/17/2007,0.3,0.6,-0.5,7.7,-1.3,2.7,2
1057,10/18/2007,0.2,0.6,-7.1,2.4,-7.3,-2.2,3
1057,10/19/2007,0.2,0.7,-1.4,-0.5,-8.4,-4.3,3
1057,10/20/2007,0.1,0.7,4.4,10,-2.8,3.7,1
1057,10/21/2007,0,0.7,-2.8,9.1,-3.4,4.7,1
1057,10/22/2007,1,1.8,-11.9,-2.6,-12.2,-8.5,12
1057,10/23/2007,1.1,1.8,-2.7,-0.7,-16.5,-6.4,10
1057,10/24/2007,1.1,1.8,-2.9,10,-4.5,0.8,7
1057,10/25/2007,1.1,1.8,6.5,15.1,-4.3,4.5,6
1057,10/26/2007,1.1,1.8,-0.9,15.5,-1.3,4.9,4
1057,10/27/2007,1.1,1.8,3.5,13.4,-1.5,4.2,-99.9
1057,10/28/2007,1.1,1.8,2.5,8.3,0.1,3.7,3
1057,10/29/2007,1.1,1.8,1.6,8.8,-0.6,3.5,3
1057,10/30/2007,1.1,1.8,5.1,9.3,1.7,5.6,2
1057,10/31/2007,0.6,1.8,-2.1,8.7,-2.1,4,1
1057,11/1/2007,0.5,1.8,-0.6,4.2,-2.3,-0.1,2
1057,11/2/2007,0.3,1.8,-1.6,5.8,-1.8,1,1
1057,11/3/2007,0.2,1.8,-1.4,2.1,-6.3,-1.4,1
1057,11/4/2007,0.2,1.8,2.7,7.7,-1.9,2.2,1
1057,11/5/2007,0.1,1.8,2.7,9.1,0.4,4.2,1
1057,11/6/2007,0,1.8,2.1,7.9,0.4,3.3,1
1057,11/7/2007,0,1.8,1.9,7.9,-0.5,3.2,1
1057,11/8/2007,0,1.8,2.5,8.4,-0.4,3.4,2
1057,11/9/2007,0,1.8,2.6,8.1,-0.1,3.3,1
1057,11/10/2007,0,1.8,4.6,8.8,-1.8,4.2,1
1057,11/11/2007,0,1.8,1.4,7.6,0.6,3.8,1
1057,11/12/2007,0,1.8,-0.2,7.4,-0.7,2.5,1
1057,11/13/2007,0,1.8,1.4,2.6,-1.5,0.8,1
1057,11/14/2007,0,1.8,0.8,8.8,-0.7,3.3,1
1057,11/15/2007,0,1.8,-1.5,1.1,-4.7,-1.1,2
1057,11/16/2007,0,1.8,1.4,7.6,-1.5,2.8,1
1057,11/17/2007,0,1.8,0.3,7.5,-1.7,2.4,5
1057,11/18/2007,0,1.9,0.2,4.5,-0.8,1,1
1057,11/19/2007,0,1.9,3,8.2,-0.4,3.5,1
1057,11/20/2007,0,1.9,2.7,8.6,2.4,5.1,1
1057,11/21/2007,0,1.9,-9.3,5.2,-9.7,0.6,2
1057,11/22/2007,0,2,-9.5,-7.1,-15.6,-11.4,3
1057,11/23/2007,0,2.1,-6.9,-1.9,-11.6,-7.2,2
1057,11/24/2007,0,2.2,-17.8,-5.2,-18.2,-10.5,4
1057,11/25/2007,0,2.2,-9.5,-3.2,-19.3,-11.5,4
1057,11/26/2007,0.1,2.3,-4.8,4,-10.5,-4.1,4
1057,11/27/2007,0.1,2.3,-2.5,-1.4,-9.6,-5.1,3
1057,11/28/2007,0,2.3,-4.3,4.3,-5.8,-0.5,3
1057,11/29/2007,0,2.3,-4.7,-4.1,-11.8,-8.9,4
1057,11/30/2007,0,2.3,-3.3,1.6,-4.9,-2.1,2
1057,12/1/2007,0.1,2.5,0.6,1.9,-4,-0.8,1
1057,12/2/2007,0.2,2.7,-8.8,1.9,-8.9,-1.9,1
1057,12/3/2007,0,2.7,-2.2,-1.9,-12.2,-6.7,3
1057,12/4/2007,0,2.7,3.5,6.2,-2.5,2,1
1057,12/5/2007,0,2.7,-1.1,5.9,-1.3,2.7,1
1057,12/6/2007,0,2.7,-2.6,2,-2.8,-1.2,2
1057,12/7/2007,0,2.7,-3,-0.4,-5.1,-3.3,2
1057,12/8/2007,0.7,3.4,-3.5,0.2,-3.6,-2,4
1057,12/9/2007,0.7,3.6,-6.9,-0.9,-7.1,-3.7,-1
1057,12/10/2007,0.7,3.7,-7.6,-5.5,-11.7,-9,3
1057,12/11/2007,0.7,3.8,-12.4,-1.7,-12.5,-5,2
1057,12/12/2007,0.7,3.9,-9.5,-7.6,-15.4,-11.7,6
1057,12/13/2007,0.6,3.9,-6.4,22.3,-9.7,-7.5,4
1057,12/14/2007,0.5,3.9,-9.3,23.3,-17.8,-5.3,3
1057,12/15/2007,0.5,3.9,-19.7,19.2,-26.4,-15.4,3
1057,12/16/2007,0.5,3.9,-6.4,20.6,-21.9,-13.5,3
1057,12/17/2007,0.4,3.9,-3.9,-1.9,-15.6,-5.3,3
1057,12/18/2007,0.4,3.9,-7.9,25.4,-8,-5,4
1057,12/19/2007,0.4,3.9,-3.6,-1.2,-13,-5,3
1057,12/20/2007,0.4,3.9,-4.5,-1.6,-12.6,-4.8,3
1057,12/21/2007,0.4,3.9,-4.1,24.2,-12,-2.3,3
1057,12/22/2007,0.7,4.4,-17.5,-1.9,-17.8,-9.7,11
1057,12/23/2007,0.8,4.4,-8.6,-7.1,-19.4,-13,8
1057,12/24/2007,0.7,4.4,-13.9,-4.5,-14.7,-10.1,8
1057,12/25/2007,0.9,4.4,-3,4.8,-13.7,-3.3,6
1057,12/26/2007,1,4.7,-15.6,-2.3,-18.3,-12.3,-99.9
1057,12/27/2007,1,4.7,-11.8,-4.3,-16.5,-11.1,9
1057,12/28/2007,1,4.8,-20.6,-11.7,-21.6,-18.2,-99.9
1057,12/29/2007,1,4.8,-17.4,-12.1,-22.5,-17.3,10
1057,12/30/2007,1.1,4.9,-14.8,-12.5,-18.7,-16,9
1057,12/31/2007,1.1,4.9,-18,-7.1,-18.1,-12.1,0
1057,1/1/2008,1.1,4.9,-20,-17.1,-21.5,-19.5,7
1057,1/2/2008,1.1,4.9,-8.8,-3.3,-20.8,-10.9,6
1057,1/3/2008,1.1,4.9,0.4,2.5,-9.8,-0.8,7
1057,1/4/2008,1.1,4.9,-2.9,2.1,-3,-0.2,6
1057,1/5/2008,1.1,4.9,-1.9,0.6,-4.6,-2.7,7
1057,1/6/2008,1.1,4.9,-4.3,-0.3,-4.8,-2.7,7
1057,1/7/2008,1.2,5.1,-8.9,-3.2,-9,-6.1,8
1057,1/8/2008,1.7,5.6,-13.8,-5.7,-15.2,-10.2,-99.9
1057,1/9/2008,1.8,5.7,-5.4,-3.3,-25.9,-9.1,13
1057,1/10/2008,1.9,5.9,-13.3,-2.4,-14.4,-8,14
1057,1/11/2008,1.9,5.9,-8.9,-5.4,-15.3,-10,15
1057,1/12/2008,1.9,5.9,-13.2,19.1,-17.5,-10.4,14
1057,1/13/2008,1.9,5.9,-13.4,20.1,-21.7,-12.2,14
1057,1/14/2008,1.9,5.9,-16.3,-4.3,-24.1,-12.9,13
1057,1/15/2008,1.9,5.9,-4.7,22.3,-20.4,-9.2,12
1057,1/16/2008,1.9,5.9,-15,-1.3,-15,-5.4,12
1057,1/17/2008,2,6.4,-24.5,-14.9,-26.8,-22.3,15
1057,1/18/2008,2,6.4,-19.5,-10.8,-24.8,-17.6,16
1057,1/19/2008,2,6.4,-19.9,-13.3,-21.9,-17.7,16
1057,1/20/2008,2,6.4,-8.4,12,-19.9,-12.1,15
1057,1/21/2008,2,6.4,-8.6,20.8,-10.3,-6.8,12
1057,1/22/2008,2,6.4,-12.8,-7.4,-13.2,-10.4,10
1057,1/23/2008,2,6.4,-11.6,14.2,-20.7,-10.7,10
1057,1/24/2008,2,6.4,-7.6,13.7,-18,-9.9,2
1057,1/25/2008,2,6.4,-8.5,20.5,-13.9,-6.1,9
1057,1/26/2008,2,6.4,-10.5,21.6,-18,-9.2,10
1057,1/27/2008,2,6.4,-4.1,-1.2,-10.7,-5.5,13
1057,1/28/2008,2,6.4,-1.9,2.9,-4.2,-0.5,8
1057,1/29/2008,2.4,6.8,-16.7,26,-23.9,-7.2,20
1057,1/30/2008,2.5,6.9,-12.1,-9,-22.3,-15.1,14
1057,1/31/2008,2.8,7.2,-20.5,12,-21.3,-14.4,-99.9
1057,2/1/2008,2.8,7.2,-7.3,20.2,-28.9,-13.4,14
1057,2/2/2008,2.8,7.2,-15.5,-2.8,-15.6,-8.4,21
1057,2/3/2008,2.8,7.3,-12.3,-9.4,-22.6,-12.2,15
1057,2/4/2008,2.8,7.3,-8.5,18.4,-12.9,-9,13
1057,2/5/2008,2.8,7.5,-15.7,-3.3,-15.7,-9.2,-99.9
1057,2/6/2008,3,7.9,-13.9,-12.2,-24,-15.9,15
1057,2/7/2008,3.1,8,-19.6,12,-20.2,-11.8,17
1057,2/8/2008,3.2,8.1,-9.5,20.5,-24.9,-9.9,-99.9
1057,2/9/2008,3.2,8.1,-11.3,11.5,-15,-11.6,15
1057,2/10/2008,3.2,8.1,-7.7,23.3,-11.9,-5.5,14
1057,2/11/2008,3.2,8.1,-4.3,17.6,-9.4,-3.6,8
1057,2/12/2008,3.2,8.1,-9.9,-0.5,-10.1,-5.8,13
1057,2/13/2008,3.2,8.1,-5.3,-3.3,-16.5,-7.1,18
1057,2/14/2008,3.2,8.1,-3.2,27.2,-10.9,-1.5,14
1057,2/15/2008,3.3,8.2,-5.6,16.4,-18.6,-6.3,16
1057,2/16/2008,3.3,8.2,-3.6,3.6,-14.6,-4.3,16
1057,2/17/2008,3.3,8.2,-12.4,18.6,-12.4,-4.3,13
1057,2/18/2008,3.4,8.4,-14.1,7.9,-18.8,-13.4,16
1057,2/19/2008,3.5,8.4,-6.5,7.4,-15.1,-9.1,17
1057,2/20/2008,3.5,8.4,-6.2,26.9,-11.8,-2.5,16
1057,2/21/2008,3.5,8.4,-7.3,15.1,-7.7,-2.8,16
1057,2/22/2008,3.6,8.6,-8.2,11.3,-9.2,-6.5,19
1057,2/23/2008,3.6,8.6,-6.2,18.6,-9.8,-6.6,18
1057,2/24/2008,3.9,8.8,-6.9,14.1,-13.6,-6.7,21
1057,2/25/2008,4.3,8.9,-5.2,19.2,-12.8,-2.5,-99.9
1057,2/26/2008,4.3,8.9,-9.7,18.5,-15.4,-7.2,21
1057,2/27/2008,4.3,8.9,-5.7,19.6,-14.5,-7,21
1057,2/28/2008,4.3,9,-0.6,15.7,-6.2,-0.6,19
1057,2/29/2008,4.3,9,-4.3,6.4,-5.5,-1.4,20
1057,3/1/2008,4.3,9,0.1,18.6,-12.8,-0.1,19
1057,3/2/2008,4.3,9,0.5,7.9,-0.2,2.3,19
1057,3/3/2008,4.7,9.6,-16.6,19.2,-16.6,-10.5,-99.9
1057,3/4/2008,4.7,9.6,-4.6,15.1,-22.2,-9.9,25
1057,3/5/2008,4.8,9.7,-13.1,14.1,-13.4,-7.1,22
1057,3/6/2008,5,9.9,-16.1,9.3,-21.2,-14.3,-99.9
1057,3/7/2008,5,9.9,-15.6,6.3,-19.9,-14.8,-99.9
1057,3/8/2008,5.2,10,-6,12.1,-21.1,-8.3,26
1057,3/9/2008,5.2,10.1,-8.7,16,-11.8,-7,-99.9
1057,3/10/2008,5.3,10.1,-6.9,23.9,-20.9,-8.1,21
1057,3/11/2008,5.3,10.1,-5.3,14.7,-9.7,-5.2,24
1057,3/12/2008,5.4,10.2,-2.4,9.8,-16.7,-1.8,22
1057,3/13/2008,5.4,10.2,-7.3,21.9,-9.4,-2,21
1057,3/14/2008,5.4,10.2,-5.5,19,-14.7,-4.7,22
1057,3/15/2008,6,10.8,-12.1,15.8,-13.3,-7.1,29
1057,3/16/2008,6.1,10.9,-8,9.4,-14.7,-8.3,28
1057,3/17/2008,6.2,11.1,-8.8,19.5,-8.9,-6,-99.9
1057,3/18/2008,6.2,11.1,-9.3,21.5,-14.2,-7.4,29
1057,3/19/2008,6.2,11.1,-9,25.3,-17.4,-8.1,28
1057,3/20/2008,6.2,11.2,-3,7.9,-14.4,-3,27
