Montana (PST) SNOTEL Site Elk Peak - NRCS National Water and Climate Center ,,,,,,,,,,
,,,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TOBS.I-3 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
1106,10/1/2008,0,0,13,13.7,13,21.3,9.5,14.5,0
1106,10/2/2008,0,0,12.8,13.9,12.8,20.5,10.2,15.1,0
1106,10/3/2008,0,0,11.8,12.2,11.8,20.8,11,14.7,0
1106,10/4/2008,0,0,9,9.1,9,15.3,8.1,11.3,0
1106,10/5/2008,0,0.1,3.4,2.6,3.4,9.8,3.4,7.3,0
1106,10/6/2008,0,0.1,0.2,-0.7,0.2,6,0.2,2.8,0
1106,10/7/2008,0,0.1,4.7,4.1,4.7,5.6,-1.7,2.1,0
1106,10/8/2008,0,0.1,-0.8,-2,-0.8,12.2,-0.8,5,0
1106,10/9/2008,0,0.1,-5.9,-6.4,-5.9,2.7,-6.1,-1.3,0
1106,10/10/2008,0.2,0.3,-5.3,-6.8,-5.3,1.5,-6.2,-3.5,2
1106,10/11/2008,0.4,0.6,-7.2,-8.7,-7.2,-4.4,-7.3,-6.1,4
1106,10/12/2008,0.8,1,-7.7,-9.1,-7.7,-5.9,-7.7,-6.9,8
1106,10/13/2008,1.3,1.5,-6.4,-8,-6.4,-5.6,-8.4,-7.4,11
1106,10/14/2008,1.4,1.7,2.5,1.8,2.5,2.8,-6.5,-0.4,12
1106,10/15/2008,1.3,1.7,-2.6,-3.3,-2.6,4,-3.2,1.5,10
1106,10/16/2008,1.3,1.7,-0.2,-1.1,-0.2,5.3,-4,0.4,7
1106,10/17/2008,1.3,1.7,2.2,1.4,2.2,3.2,-1.3,1.1,7
1106,10/18/2008,1.1,1.7,9,9,9,10.3,2.1,6.8,4
1106,10/19/2008,0.4,1.7,3.9,3.4,3.9,11.9,3.9,7.8,1
1106,10/20/2008,0,1.8,1.5,0.5,1.5,7,1.5,3,0
1106,10/21/2008,0,1.8,-2.4,-3.6,-2.4,11.3,-2.4,4.6,0
1106,10/22/2008,0.2,1.9,-5.8,-7.1,-5.8,-0.8,-6,-3.4,1
1106,10/23/2008,0,1.9,3.9,3.4,3.9,5.7,-8.1,-1,0
1106,10/24/2008,0,1.9,0.9,0,0.9,9.4,0.4,5.7,0
1106,10/25/2008,0,1.9,4.4,3.8,4.4,5.7,-0.2,3.3,0
1106,10/26/2008,0,1.9,-4.3,-5.5,-4.3,6.8,-4.3,3,0
1106,10/27/2008,0,1.9,5.3,5,5.3,5.3,-9.7,-1.4,0
1106,10/28/2008,0,2,9.6,9.7,9.6,12.7,4.9,8.8,0
1106,10/29/2008,0,2,10.1,10.2,10.1,16,8.9,11.6,0
1106,10/30/2008,0,2,6.7,6.5,6.7,12.5,5.7,9.3,0
1106,10/31/2008,0,2,7.7,7.7,7.7,11.8,5.3,7.9,0
1106,11/1/2008,0,2,6.7,6.6,6.7,13,6.7,9.1,0
1106,11/2/2008,0,2,6.2,5.9,6.2,11.6,5.6,7.4,0
1106,11/3/2008,0,2.2,0.2,-0.9,0.2,10,0.2,5.4,0
1106,11/4/2008,0,2.2,0,-0.9,0,2.6,-1.7,0.1,0
1106,11/5/2008,0.2,2.3,-4.7,-6.1,-4.7,1.8,-4.7,-1.2,2
1106,11/6/2008,0.4,2.4,-8,-9.7,-8,-4.6,-8,-5.9,3
1106,11/7/2008,0.4,2.5,-0.4,-1.6,-0.4,-0.4,-9.9,-5.1,3
1106,11/8/2008,0.5,2.5,1,0.1,1,2.3,-0.4,1.2,2
1106,11/9/2008,0.5,2.6,3.6,3,3.6,3.9,1,2.6,2
1106,11/10/2008,0.5,2.6,0.4,-0.4,0.4,7.3,0.4,3.2,2
1106,11/11/2008,0.5,2.6,-1.7,-2.8,-1.7,3.1,-1.8,0.8,2
1106,11/12/2008,0.5,2.6,-0.6,-1.9,-0.6,0.8,-2.7,-1.4,2
1106,11/13/2008,0,2.9,1.9,1.1,1.9,5.8,-0.8,2.6,0
1106,11/14/2008,0.3,3.2,-6.5,-7.8,-6.5,1.9,-6.6,-2.3,3
1106,11/15/2008,0.8,3.4,-2.6,-5.4,-2.6,-2.5,-8,-6.7,4
1106,11/16/2008,0.8,3.4,4.2,3.6,4.2,4.8,-3.1,1.8,3
1106,11/17/2008,0.7,3.4,5.1,4.6,5.1,6.4,3.8,5,2
1106,11/18/2008,0.6,3.4,9.5,9.7,9.5,10.8,4.8,8.4,1
1106,11/19/2008,0,3.4,3.7,3.2,3.7,10.4,3.6,7.8,0
1106,11/20/2008,0,3.4,-8.3,-9.8,-8.3,3.6,-8.3,-2.6,0
1106,11/21/2008,0.1,3.5,-3.7,-5,-3.7,-0.2,-10.4,-7.8,2
1106,11/22/2008,0,3.5,-2.1,-3.3,-2.1,-1.9,-7,-3.9,0
1106,11/23/2008,0,3.5,-6,-7.3,-6,1.3,-6,-1.5,0
1106,11/24/2008,0,3.5,-0.6,-1.7,-0.6,-0.4,-8.6,-4.8,0
1106,11/25/2008,0,3.5,2.2,-99.9,-99.9,4.3,-1.6,1.7,0
1106,11/26/2008,0,3.5,1.9,1.1,1.9,6.5,1.4,3.2,0
1106,11/27/2008,0,3.5,-5.8,-6.8,-5.8,2.4,-6.7,-2,0
1106,11/28/2008,0,3.5,-0.7,-1.9,-0.7,3.3,-6.1,-1.3,0
1106,11/29/2008,0,3.5,-3,-4.3,-3,-0.4,-4.3,-3.3,0
1106,11/30/2008,0,3.5,-1.8,-3.2,-1.8,-0.1,-3.2,-1.7,0
1106,12/1/2008,0,3.5,0.8,-0.1,0.8,2.4,-2.3,-0.6,0
1106,12/2/2008,0,3.6,3.4,2.6,3.4,5.2,0.3,3.4,0
1106,12/3/2008,0.1,3.6,-12.8,-14.1,-12.8,3.5,-12.8,-6.1,2
1106,12/4/2008,0,3.6,-16.5,-17.7,-16.5,-11.3,-16.5,-13.5,0
1106,12/5/2008,0,3.6,-6.5,-8,-6.5,-6.4,-19.5,-13.4,0
1106,12/6/2008,0.9,3.7,-0.7,-1.9,-0.7,-0.7,-6.8,-2.9,2
1106,12/7/2008,1.5,3.8,0.2,-0.7,0.2,3.9,-0.7,1.5,6
1106,12/8/2008,1.5,3.8,-4.4,-5.8,-4.4,1.2,-4.4,-0.6,5
1106,12/9/2008,1.5,3.8,-8.6,-10.1,-8.6,-4.5,-11.1,-8.8,5
1106,12/10/2008,1.9,3.9,-2.1,-3.5,-2.1,-2.1,-8.9,-6.3,7
1106,12/11/2008,1.9,3.9,-2.8,-4,-2.8,-0.3,-2.8,-1.3,7
1106,12/12/2008,1.9,3.9,-3.3,-4.5,-3.3,-2.2,-6,-3.8,6
1106,12/13/2008,1.9,3.9,-3.1,-4.4,-3.1,-0.3,-4.1,-2.5,6
1106,12/14/2008,2,4,-33,-32.8,-33,-2.8,-33.2,-23.8,8
1106,12/15/2008,2,4.1,-27.4,-27.9,-27.4,-24,-33.6,-29.5,8
1106,12/16/2008,2.2,4.2,-13.6,-15,-13.6,-13.2,-27.5,-22.1,9
1106,12/17/2008,2.3,4.2,-15,-16.6,-15,-12.9,-17.1,-15.4,10
1106,12/18/2008,2.3,4.2,-12.9,-14.4,-12.9,-10.8,-15.3,-12.5,10
1106,12/19/2008,2.3,4.2,-9.8,-11.4,-9.8,-7.3,-13.5,-10.7,9
1106,12/20/2008,2.3,4.2,-20.7,-21.9,-20.7,-9.5,-21,-15.3,8
1106,12/21/2008,2.6,4.2,-20.8,-21.8,-20.8,-20.3,-24,-22,7
1106,12/22/2008,2.8,4.4,-6.7,-8.2,-6.7,-6.7,-21.2,-14,9
1106,12/23/2008,3,4.5,-21.4,-22.3,-21.4,-4.4,-21.6,-10.8,11
1106,12/24/2008,3.3,4.6,-13.6,-15.1,-13.6,-13,-21.3,-15.7,14
1106,12/25/2008,3.3,4.6,-8.5,-10.1,-8.5,-7.7,-14,-11.2,13
1106,12/26/2008,3.8,5,-13.9,-15.3,-13.9,-4.2,-14,-7.2,15
1106,12/27/2008,4.3,5.1,-14.8,-16.3,-14.8,-12.6,-16.8,-15,20
1106,12/28/2008,4.6,5.2,-5,-6.4,-5,-4.4,-14.8,-8.5,21
1106,12/29/2008,4.9,5.4,-3.8,-5.2,-3.8,-0.8,-5.8,-3.5,21
1106,12/30/2008,6.4,5.5,-9.7,-11.5,-9.7,0.2,-9.8,-4.2,30
1106,12/31/2008,6.6,5.6,-8.9,-10.5,-8.9,-7.3,-12.2,-9.9,28
1106,1/1/2009,7.1,5.6,-9.7,-11.1,-9.7,-1.9,-9.7,-5.3,26
1106,1/2/2009,7.5,5.8,-2.5,-3.9,-2.5,-1.9,-11,-6.7,31
1106,1/3/2009,7.7,5.8,-14.1,-15.5,-14.1,-0.2,-14.1,-5.4,31
1106,1/4/2009,7.7,5.8,-16.6,-18,-16.6,-14.1,-18,-16.6,31
1106,1/5/2009,7.9,5.9,-10.1,-11.5,-10.1,-9.4,-17.1,-13.6,31
1106,1/6/2009,8.4,5.9,-6.4,-7.9,-6.4,-6.1,-10.2,-8,32
1106,1/7/2009,9.1,6.2,-1.3,-2.5,-1.3,-1.3,-6.6,-5.1,35
1106,1/8/2009,10,6.2,1.4,0.3,1.4,1.6,-1.3,0.6,39
1106,1/9/2009,10.1,6.2,-4.5,-5.8,-4.5,2.9,-4.5,0.1,37
1106,1/10/2009,10.5,6.2,-4.8,-6.2,-4.8,-4.3,-8.7,-6.2,39
1106,1/11/2009,10.5,6.2,-5.1,-6.4,-5.1,-2.1,-5.6,-3.9,38
1106,1/12/2009,10.5,6.2,-6.5,-7.9,-6.5,-1,-6.5,-3.4,35
1106,1/13/2009,10.6,6.3,-1.6,-2.8,-1.6,-1.1,-7.8,-4.9,37
1106,1/14/2009,10.6,6.3,-2.8,-4,-2.8,1.3,-3,-1,36
1106,1/15/2009,10.4,6.3,-2.9,-4.2,-2.9,-0.3,-3.2,-2.2,35
1106,1/16/2009,10.4,6.3,1.6,0.8,1.6,2.4,-3.3,-0.8,35
1106,1/17/2009,10.3,6.3,0,-1,0,4.5,-1.3,1.4,34
1106,1/18/2009,10.3,6.3,2.6,2,2.6,6.1,-0.5,2.8,34
1106,1/19/2009,10.3,6.3,4.4,4,4.4,8,1.7,4.3,33
1106,1/20/2009,10.3,6.3,9.3,9.9,9.3,11.4,4.1,7.1,33
1106,1/21/2009,10.3,6.3,5.2,4.9,5.2,11.2,5.1,8.6,33
1106,1/22/2009,10.2,6.3,0.7,-0.2,0.7,6.5,0.6,3.8,33
1106,1/23/2009,10.2,6.3,-14.3,-15.7,-14.3,2.2,-14.4,-2.9,32
1106,1/24/2009,10.2,6.3,-4.1,-5.3,-4.1,-4.1,-19.6,-13.6,32
1106,1/25/2009,10.2,6.3,-22,-23.1,-22,-2.7,-22.5,-14.7,32
1106,1/26/2009,10.2,6.3,-20.9,-21.9,-20.9,-15.4,-24,-20.6,32
1106,1/27/2009,10.2,6.3,-16.7,-17.9,-16.7,-13.8,-23.8,-19.3,32
1106,1/28/2009,10.2,6.3,-8.1,-9.6,-8.1,-7.1,-17.7,-11.1,32
1106,1/29/2009,10.1,6.3,-9.7,-11.3,-9.7,-6.9,-10.1,-8.4,31
1106,1/30/2009,10.1,6.3,-4.3,-5.6,-4.3,-3.6,-9.8,-6.1,31
1106,1/31/2009,10.1,6.3,-0.7,-1.8,-0.7,2.1,-5.3,-0.8,31
1106,2/1/2009,10.1,6.3,-10.5,-11.9,-10.5,-0.7,-10.6,-5,31
1106,2/2/2009,10.1,6.3,-6.1,-7.4,-6.1,-5.3,-12.2,-8.7,31
1106,2/3/2009,10.7,6.5,-0.8,-1.7,-0.8,-0.4,-6.2,-2.7,34
1106,2/4/2009,10.7,6.5,2.9,2.2,2.9,4.4,-1.4,1.4,33
1106,2/5/2009,10.7,6.5,3.6,3,3.6,7.2,1.8,4.3,33
1106,2/6/2009,10.7,6.5,1.6,0.8,1.6,7,1.5,3.5,32
1106,2/7/2009,10.7,6.5,-4.6,-6,-4.6,1.6,-4.6,-1,31
1106,2/8/2009,10.8,6.5,-3.9,-4.7,-3.9,0.1,-6.8,-4.1,33
1106,2/9/2009,10.8,6.5,-1.9,-3,-1.9,6.2,-5.6,-0.8,33
1106,2/10/2009,10.8,6.5,-9,-10.5,-9,-1.2,-9,-4.5,33
1106,2/11/2009,10.8,6.5,-10.9,-12.1,-10.9,-5.6,-11.6,-9.5,33
