Montana (PST) SNOTEL Site Hoodoo Basin - NRCS National Water and Climate Center ,,,,,,,,
,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
530,10/1/2007,0,0,2.6,6.4,-2.2,2.5,0
530,10/2/2007,0.4,0.4,2,4.3,1.5,2.1,0
530,10/3/2007,0.9,1.1,1.9,3.6,1.6,2.3,3
530,10/4/2007,1.3,1.7,0.1,1.9,-0.4,1.1,6
530,10/5/2007,1.5,2,0.5,6.2,-0.4,1.2,8
530,10/6/2007,1.6,2.1,0.5,2.6,0.4,1,7
530,10/7/2007,1.5,2.2,0.1,1.8,0,0.6,6
530,10/8/2007,1.5,2.2,4.2,4.5,0.1,2.1,4
530,10/9/2007,1.5,2.4,5.1,8.7,3.8,5.7,3
530,10/10/2007,1.3,2.4,8.1,10.9,3.7,7.3,3
530,10/11/2007,0.9,2.4,3.2,12.7,3.1,7.3,2
530,10/12/2007,0.6,2.4,2.7,6.7,2,3.5,0
530,10/13/2007,0.4,2.4,4.5,10.1,1.8,5.5,0
530,10/14/2007,0.2,2.4,2.2,10,1.5,4.5,0
530,10/15/2007,0,2.4,5.2,11.9,1.7,5.8,0
530,10/16/2007,0,2.5,6.8,13.6,4.8,8,0
530,10/17/2007,0,2.5,1.6,7.8,1.6,4.7,0
530,10/18/2007,0.2,2.5,-0.6,1.6,-0.6,0.2,0
530,10/19/2007,0.6,3.1,1.6,1.7,-1,0.3,3
530,10/20/2007,1.3,3.9,0.2,4.4,0.2,2,6
530,10/21/2007,1.8,4.4,-0.9,0.9,-1.4,-0.7,10
530,10/22/2007,1.9,4.6,-0.1,1.2,-1,-0.1,11
530,10/23/2007,1.9,4.7,4.8,4.8,-0.1,2.7,9
530,10/24/2007,1.9,4.8,8,12,3.1,7.3,8
530,10/25/2007,1.6,4.8,5.9,13.9,5.5,9.1,7
530,10/26/2007,1.5,4.8,-3.8,5.9,-3.8,0,6
530,10/27/2007,1.5,4.8,-2.6,1.4,-5.4,-2.4,5
530,10/28/2007,1.5,4.9,6.2,8.4,-3.5,2.2,3
530,10/29/2007,1.5,4.9,6,10.8,2,6.3,3
530,10/30/2007,1.5,5,3.2,10.3,3.2,6.8,3
530,10/31/2007,1.3,5,-1.7,4.7,-1.8,1.6,3
530,11/1/2007,1.3,5,2.3,5.3,-2.6,1.4,3
530,11/2/2007,1.3,5,-3,2.7,-3.3,0.6,3
530,11/3/2007,1.3,5,-0.9,2.9,-4.8,-1,3
530,11/4/2007,1.4,5,4.2,5,-0.9,2.9,4
