Oregon (PST) SNOTEL Site Mt Hood Test Site - NRCS National Water and Climate Center - ,,,,,,,,
,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
651,10/1/2007,0.6,0,1.7,4.5,1.1,2.6,1
651,10/2/2007,0.8,0.8,2.2,3.3,0.9,2.2,4
651,10/3/2007,0.4,1.7,2.5,4.4,1.8,3.2,3
651,10/4/2007,1.4,2.8,-0.1,2.5,-0.3,0.6,9
651,10/5/2007,1.6,3.1,-3.1,2.2,-3.1,-0.3,10
651,10/6/2007,1.6,3.1,-1.4,1.2,-3.6,-1.4,9
651,10/7/2007,1.7,3.5,5.5,5.6,-1.4,1.6,7
651,10/8/2007,1.1,3.7,3,6.6,3,5.1,5
651,10/9/2007,0.5,3.7,8.6,9.2,2.8,5.9,3
651,10/10/2007,0.4,3.7,5.6,10.2,5.5,8.6,3
651,10/11/2007,0.3,4.1,0.9,5.8,0.8,2.8,3
651,10/12/2007,0.4,4.2,4.3,5.5,0.5,3.4,3
651,10/13/2007,0.3,4.2,3.8,8.3,2.3,4.7,3
651,10/14/2007,0.4,4.2,6.2,10.5,2,6,2
651,10/15/2007,0.4,4.2,6.9,13.4,5.2,8.4,3
651,10/16/2007,0.3,4.4,0.8,8.4,0.7,5.6,3
651,10/17/2007,0.4,4.5,-0.7,1.1,-1.1,0.3,3
651,10/18/2007,0.9,5.1,-0.4,0.2,-0.9,-0.4,7
651,10/19/2007,1.3,6.4,5.2,5.2,-1,2.6,5
651,10/20/2007,1.1,7.2,-0.9,6.3,-1,1.6,7
651,10/21/2007,3.9,9.5,0.2,0.4,-1.9,-0.7,23
651,10/22/2007,3.9,9.9,2.2,3.4,-0.9,0.9,21
651,10/23/2007,3.9,9.9,10.5,13.5,2.2,8.5,18
651,10/24/2007,3.6,9.9,12.1,16.5,10.1,12.8,13
651,10/25/2007,3.2,9.9,-2.3,12.1,-2.3,5.5,10
651,10/26/2007,3.1,9.9,0,3.4,-4.8,-0.9,9
651,10/27/2007,2.8,10,6.5,7.8,-0.7,3.5,9
651,10/28/2007,2.9,10,7.2,12.7,5.4,7.9,8
651,10/29/2007,2.8,10,9,13.2,6.8,9.1,7
651,10/30/2007,2.6,10,3.7,10.5,3.7,7.4,7
651,10/31/2007,2.5,10,3.1,8.2,1.6,4.3,7
651,11/1/2007,2.4,10.1,4.3,10.6,2.9,6.3,6
651,11/2/2007,2.4,10.1,0.4,5.4,-0.5,2,6
651,11/3/2007,2.6,10.1,4.7,8.5,-0.4,4.1,6
651,11/4/2007,2.3,10.1,8.5,13,4.2,8.5,6
651,11/5/2007,2.1,10.1,7.7,11.2,4.1,7.9,5
651,11/6/2007,1.8,10.1,8.7,12.3,6.8,8.8,4
651,11/7/2007,1.6,10.1,10.3,15.7,8.4,11.2,4
651,11/8/2007,1.4,10.1,8.7,12.7,7.9,9.6,4
651,11/9/2007,1,10.1,6.8,13,6.6,9.3,2
651,11/10/2007,0.5,10.1,5,8.5,4.2,5.6,2
651,11/11/2007,0.3,10.7,-0.4,5,-1.9,1.6,2
651,11/12/2007,0.5,10.9,0.6,0.9,-2.2,-1.1,3
651,11/13/2007,0.7,12.8,-1.7,5.7,-1.9,2,4
651,11/14/2007,0.9,13,-1.5,1.2,-3.9,-2,5
651,11/15/2007,0.9,13.1,5.4,6.1,-1.5,1.6,3
651,11/16/2007,0.4,13.4,3.3,5.8,2.6,3.8,2
651,11/17/2007,0.4,14.9,4.8,5.2,3.3,4.3,3
651,11/18/2007,0.3,16.5,-0.5,6.6,-0.7,3.5,2
651,11/19/2007,1.8,17.8,-2,0.6,-2.5,-0.9,17
651,11/20/2007,2.5,18.6,-4.1,-0.8,-4.5,-2.9,21
651,11/21/2007,2.5,18.6,-3.9,0.4,-7.1,-4.2,19
651,11/22/2007,2.4,18.7,-1.2,-0.2,-4.5,-2.1,17
651,11/23/2007,2.3,18.7,1.4,3,-3.1,-0.4,15
651,11/24/2007,2.3,18.7,3.7,9.5,0,3.7,14
651,11/25/2007,2.2,18.7,-2.1,4.9,-3.8,1.7,14
651,11/26/2007,2.2,18.7,2.5,5.9,-3.6,0,13
651,11/27/2007,3,19.2,-3.3,5.8,-3.6,2.4,19
651,11/28/2007,3.7,20,-5,-2.5,-5.3,-3.8,23
651,11/29/2007,5.2,21.3,-1.6,-1.5,-6.6,-4,33
651,11/30/2007,6.7,22.6,-5.2,-1.6,-5.6,-3.2,39
651,12/1/2007,6.8,22.8,-7.1,-4.4,-7.3,-5.9,37
651,12/2/2007,7.7,23.4,-3.7,-3.7,-10,-6.3,46
651,12/3/2007,9.5,25.3,1.1,1.3,-3.7,-1.2,52
651,12/4/2007,9.4,27.3,4.7,6.8,1.1,5,39
651,12/5/2007,9.2,28.1,1.4,4.8,1.2,3,33
651,12/6/2007,9.2,28.3,0.4,1.5,0.1,0.6,31
651,12/7/2007,9.6,28.7,-4.2,1,-4.2,-0.4,32
651,12/8/2007,9.6,28.8,-5.4,-1.3,-5.5,-3.3,34
651,12/9/2007,9.7,28.8,-5.5,-2.4,-6.1,-4.7,34
651,12/10/2007,9.7,28.8,-3.2,-1.3,-5.7,-4.1,33
651,12/11/2007,9.7,28.8,-3.8,-0.9,-8,-3.9,32
651,12/12/2007,9.6,29,-1.2,4.6,-3.7,0.4,32
651,12/13/2007,9.6,29,-4.4,-1.1,-4.6,-3.6,32
651,12/14/2007,9.6,29,-1.9,-1.1,-6.6,-3.7,32
651,12/15/2007,9.6,29,0,2.2,-1.9,0.6,31
651,12/16/2007,10,29.5,-3.7,0,-3.8,-3.1,36
651,12/17/2007,10.2,29.6,-2.6,-1.7,-4.1,-2.9,36
651,12/18/2007,10.8,30.2,-1.6,-1.6,-4.8,-3.1,43
651,12/19/2007,11.8,31.3,-2.3,0.9,-2.7,-0.7,49
651,12/20/2007,13.4,32.6,-2.2,-0.1,-2.5,-1.5,61
651,12/21/2007,15.2,34.3,-6.1,-2.2,-6.9,-4.7,72
651,12/22/2007,15.3,34.6,-5.3,-3.3,-7,-5.4,70
651,12/23/2007,16,35.5,-0.9,0.8,-5.3,-1.3,69
651,12/24/2007,16.6,37.3,-3.3,5.2,-3.3,1.2,74
651,12/25/2007,18.2,38.5,-6.8,-3.3,-6.8,-4.9,78
651,12/26/2007,19.1,38.5,-5.4,-4,-8.4,-5.8,82
651,12/27/2007,20.7,38.7,-7.2,-5.2,-7.4,-6.3,91
651,12/28/2007,21.8,38.8,-3.1,-2.6,-7.2,-5.1,95
651,12/29/2007,23.4,42.2,-3.3,-1.9,-4.1,-3.3,100
651,12/30/2007,24.5,42.3,-5.8,-0.2,-5.8,-2.9,102
651,12/31/2007,25.9,42.5,-6.5,-5.5,-6.8,-6.2,109
651,1/1/2008,26,44.6,-5.3,-4.1,-10,-6.7,104
651,1/2/2008,26,44.6,-3.5,-2.6,-5.6,-4.3,101
651,1/3/2008,26.4,45.3,0.3,1.3,-3.8,-0.3,101
651,1/4/2008,26.7,45.4,-0.3,1.5,-1.4,-0.2,100
651,1/5/2008,27,46.2,-2.6,1.2,-2.6,-0.3,101
651,1/6/2008,28.1,47.3,-5.6,-2.5,-5.6,-4.3,111
651,1/7/2008,28.6,47.5,-5.1,-4.4,-6.3,-5.5,112
651,1/8/2008,29.3,48.3,-5,-4.8,-7.8,-6.4,114
651,1/9/2008,32.1,50,-5.3,-0.5,-5.3,-2.1,133
651,1/10/2008,33.1,50.8,-0.5,-0.5,-6.8,-4.9,129
651,1/11/2008,35.2,52.7,-0.9,0.9,-1.1,-0.2,131
651,1/12/2008,36.8,52.9,-0.9,0.8,-1.1,-0.6,132
651,1/13/2008,37.8,53,-2.3,1,-2.3,-0.4,132
651,1/14/2008,37.9,53,0.1,2.6,-4.4,-1.1,129
651,1/15/2008,39.2,55.4,-8.1,2.3,-8.4,-1.3,134
651,1/16/2008,39.5,55.4,-9.9,-5.7,-9.9,-7.9,132
651,1/17/2008,39.6,55.4,0.6,0.6,-10.4,-5.5,129
651,1/18/2008,39.5,55.4,2,5.7,-1.8,1.5,126
651,1/19/2008,39.6,56.6,1.6,6.2,-0.6,1.7,125
651,1/20/2008,40.2,56.8,-4.2,2.5,-4.2,-1.3,128
651,1/21/2008,40.2,56.8,-10.2,-2.5,-11.4,-6,128
651,1/22/2008,38.8,57.3,-6.7,-5.8,-13,-9.5,116
651,1/23/2008,38.8,57.5,-7.9,-4,-8,-6.4,115
651,1/24/2008,39,57.8,-6.6,0.1,-9.5,-3.9,114
651,1/25/2008,38.7,57.9,-9.2,-5.3,-9.3,-7.8,113
651,1/26/2008,38.8,58,0,4.4,-9.9,-3.2,113
651,1/27/2008,40.2,59.4,-3.4,0.7,-3.4,-0.5,127
651,1/28/2008,41,60.2,-9.3,-3.4,-9.3,-6.2,132
651,1/29/2008,42,61.2,-6.2,-5.6,-9.4,-7.2,141
651,1/30/2008,44.4,63.6,-7.2,-3.6,-7.2,-5.8,155
651,1/31/2008,46.4,65.6,-2.7,-2.7,-7.2,-4.8,160
651,2/1/2008,49.2,68.4,-5.1,-1.6,-5.1,-3.6,172
651,2/2/2008,50.9,70.1,-6.1,-3.8,-6.1,-5.1,176
651,2/3/2008,52.3,71.5,-4.1,-2.4,-6.1,-4.3,181
651,2/4/2008,52.6,71.8,-6.5,-4.1,-6.5,-5.3,180
651,2/5/2008,53.1,72.3,-4.5,-2.4,-7.7,-5.4,178
651,2/6/2008,54.3,73.5,-5.5,-0.3,-5.5,-2.7,178
651,2/7/2008,56.6,75.8,-1.9,-1.9,-6,-4.4,186
651,2/8/2008,59.1,78.3,-3.7,-0.9,-4,-3.2,193
651,2/9/2008,60.9,80.1,0.3,0.4,-3.7,-1.6,195
651,2/10/2008,61.2,80.4,1.1,2.5,0.3,1.1,188
651,2/11/2008,61.4,80.6,-1.2,1.7,-1.2,0.4,183
651,2/12/2008,61.7,80.6,2.5,2.7,-1.7,0.4,179
651,2/13/2008,62.4,80.6,-4,6,-4,1.9,182
651,2/14/2008,62.9,80.6,-8.3,-2.5,-8.3,-5,182
651,2/15/2008,62.9,80.6,1.2,3.5,-8.7,-2.8,178
651,2/16/2008,63,80.6,0.3,8,-0.3,2.7,175
651,2/17/2008,63,80.6,0.4,5.5,-1.8,1.2,173
651,2/18/2008,63,80.6,5.3,6.3,-1.2,2.6,171
651,2/19/2008,63,80.8,5.4,9.5,3.9,6.8,170
651,2/20/2008,63,80.8,1.1,8.3,0.6,3.4,168
651,2/21/2008,63.2,80.8,1.6,6.3,-0.6,1.6,167
651,2/22/2008,63.1,80.8,-0.4,3.2,-0.5,1.1,166
651,2/23/2008,63,80.8,-4.2,3.5,-4.2,-0.8,166
651,2/24/2008,63.3,81.1,-0.8,0.5,-5.6,-1.8,165
651,2/25/2008,63.2,81.1,-0.1,1.2,-1.3,-0.3,166
651,2/26/2008,64.1,81.3,0,2.7,-2,-0.2,168
651,2/27/2008,64.3,81.3,2.8,9.9,-1.6,2.1,167
651,2/28/2008,64.3,81.3,1.5,5.3,-0.9,2.6,165
651,2/29/2008,64.3,81.3,7,11.8,0.7,5.3,164
651,3/1/2008,64.8,81.8,-2.1,8.7,-2.2,4.5,166
651,3/2/2008,66.2,83.2,-4.5,-1.5,-5,-3.3,176
651,3/3/2008,66.7,83.7,-4.9,1.4,-8.5,-3.8,174
651,3/4/2008,67.1,84.1,-4.3,-1.1,-4.9,-3,174
651,3/5/2008,67.3,84.3,-4,-0.3,-6.6,-4.2,174
651,3/6/2008,67.4,84.4,-0.5,3.7,-4.9,-1.1,173
651,3/7/2008,67.5,84.5,2.1,7.2,-0.5,3,171
651,3/8/2008,67.6,84.6,0.3,6.5,-0.3,2.5,170
651,3/9/2008,67.6,84.6,-0.5,6,-1.5,0.3,169
651,3/10/2008,67.6,84.6,6.1,11.5,-0.8,4.3,168
651,3/11/2008,67.5,84.6,-0.3,10.1,-0.3,5.6,165
651,3/12/2008,68,85.1,-4.9,-0.1,-4.9,-2.4,167
651,3/13/2008,68.4,85.5,-0.5,4.1,-5.3,-0.7,168
651,3/14/2008,69.9,87,-2.4,0,-2.5,-1.4,180
651,3/15/2008,70.6,87.7,-3.3,1.1,-3.3,-2.4,184
651,3/16/2008,71.4,88.5,-4.4,1.2,-4.4,-2.6,186
651,3/17/2008,71.8,88.9,-3.4,-2.3,-5.9,-4.3,184
651,3/18/2008,72.8,89.9,0.5,1.9,-3.4,-0.4,184
651,3/19/2008,74.5,91.6,-5.3,1.6,-5.3,-0.6,189
651,3/20/2008,74.8,91.9,-3.9,0.9,-6.3,-3.4,189
651,3/21/2008,75.5,92.6,-6.2,2.3,-6.2,-3.2,195
651,3/22/2008,76,93.1,-6.5,-0.4,-7,-4.8,195
651,3/23/2008,76.3,93.4,0.4,3,-6.4,-0.7,191
651,3/24/2008,77.2,94.3,-5.4,1.3,-5.4,-0.6,196
651,3/25/2008,77.4,94.5,-7.5,0.2,-7.5,-4.3,194
651,3/26/2008,77.6,94.7,-3.7,2,-7.8,-3.8,194
651,3/27/2008,79.1,96.2,-7.4,-2.4,-7.4,-4.8,208
651,3/28/2008,79.9,97,-5.9,-0.6,-8.2,-6,206
651,3/29/2008,80.7,97.8,-7.8,-2.1,-8.1,-6.1,214
651,3/30/2008,81.7,98.8,-7.8,-1.6,-8,-5.8,217
651,3/31/2008,81.7,98.8,-7.1,-1.2,-9.2,-6.5,214
651,4/1/2008,82,99.1,-10.1,0.9,-10.1,-5.6,210
651,4/2/2008,82,99.1,-5,4.1,-11,-4.1,207
651,4/3/2008,81.8,99.1,-3.7,6.9,-7.6,-1.3,204
