New Mexico (PST) SNOTEL Site Quemazon - NRCS National Water and Climate Center ,,,,,,,,
,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
708,10/1/2007,0,0,6.3,15.1,-0.3,7.5,1
708,10/2/2007,0,0.2,8.3,16.4,6.2,9.7,1
708,10/3/2007,0,0.3,3.6,14.8,3.5,8.2,1
708,10/4/2007,0,0.3,5.5,16,2.2,8.5,1
708,10/5/2007,0,0.4,6.6,17,5.4,9.5,1
708,10/6/2007,0,0.4,8.4,15.9,6.1,10.9,1
708,10/7/2007,0,0.4,-1,15.4,-1,8.4,1
708,10/8/2007,0,0.4,-0.9,8.4,-2.2,2.2,1
708,10/9/2007,0,0.4,4,14.7,-1,6.5,1
708,10/10/2007,0,0.4,8,15.3,2.5,8.8,1
708,10/11/2007,0,0.4,6.4,15.1,6.1,9.3,1
708,10/12/2007,0,0.4,7.5,17.8,4,9.8,1
708,10/13/2007,0,0.4,7.5,17.6,4.9,11.1,1
708,10/14/2007,0,0.4,1,12.9,1,7.5,1
708,10/15/2007,0,0.4,0.7,10,-1.2,3.6,1
708,10/16/2007,0,0.4,1.6,10,-0.6,3.6,1
708,10/17/2007,0,0.4,1.2,11.8,0.3,4.7,1
708,10/18/2007,0,0.5,0.1,6.9,-0.2,2.3,1
708,10/19/2007,0,0.5,2.8,6.1,-1.9,1.5,1
708,10/20/2007,0,0.5,2.5,14.4,1.9,6.9,1
708,10/21/2007,0,0.5,6.9,15.1,2.3,9.2,1
708,10/22/2007,0,0.7,-5.3,6.9,-5.8,-1.4,2
708,10/23/2007,0,0.7,3.3,4.8,-8.2,-1.6,1
708,10/24/2007,0,0.7,3.4,14,-0.7,5.7,1
708,10/25/2007,0,0.7,5.7,13.6,2.3,7,1
708,10/26/2007,0,0.7,5.3,16,4.5,8.5,1
708,10/27/2007,0,0.7,5.2,16.6,3.5,8.6,1
708,10/28/2007,0,0.7,3.8,13.9,3.1,6.8,1
708,10/29/2007,0,0.7,4.3,13.6,3.2,7.2,1
708,10/30/2007,0,0.7,3.6,14.8,3.2,7.5,1
708,10/31/2007,0,0.7,2.5,12.9,1.6,6.3,1
708,11/1/2007,0,0.7,-0.3,11,-0.9,4.1,1
708,11/2/2007,0,0.7,1,10.1,-0.6,3.3,1
708,11/3/2007,0,0.7,-0.1,10.9,-0.8,4,1
708,11/4/2007,0,0.7,2.4,11.1,-0.1,4.3,1
708,11/5/2007,0,0.7,2.9,13.9,2,6.1,1
708,11/6/2007,0,0.7,1.5,13.2,-0.1,6,1
708,11/7/2007,0,0.7,1.9,12.4,0.9,5.2,1
708,11/8/2007,0,0.7,3.5,13.8,1.2,6.3,1
708,11/9/2007,0,0.7,3.1,14,2.5,6.6,1
708,11/10/2007,0,0.7,4.5,13,2.4,6.3,1
708,11/11/2007,0,0.7,1.9,12.1,1.9,5.7,1
708,11/12/2007,0,0.7,1.3,11.2,0.1,4.3,1
708,11/13/2007,0,0.7,0.9,11.7,0.9,5,1
708,11/14/2007,0,0.7,2.4,12.5,-0.3,4.8,1
708,11/15/2007,0,0.7,-3.8,9.6,-3.8,2.9,1
708,11/16/2007,0,0.7,1.8,10.1,-4,2.6,1
708,11/17/2007,0,0.7,2.5,11.7,-0.2,4.7,1
708,11/18/2007,0,0.8,3,10.3,0.9,4.9,1
708,11/19/2007,0,0.8,2.7,14.2,0.5,6.1,1
708,11/20/2007,0,0.8,3.5,15.5,2.3,6.5,0
708,11/21/2007,0,0.8,2.6,11.3,0.6,5.2,1
708,11/22/2007,0,0.8,-5.2,4.7,-6.3,-0.6,1
708,11/23/2007,0,0.8,-5.3,1.9,-5.9,-2.8,1
708,11/24/2007,0.5,1.3,-8.9,-2.3,-9,-5.2,5
708,11/25/2007,0.5,1.3,-8.2,-1.7,-9.7,-7,5
708,11/26/2007,0.5,1.3,-2.5,5.3,-8.7,-2.3,4
708,11/27/2007,0.5,1.3,-5.1,4.1,-5.1,-0.9,4
708,11/28/2007,0.5,1.3,1.6,6.8,-7.1,0.3,3
708,11/29/2007,0.5,1.3,-6.2,3.9,-8.3,-1.7,3
708,11/30/2007,0.5,1.3,-1.7,7,-7,-1,3
708,12/1/2007,0.9,2.5,4.4,4.4,-1.7,2.6,2
708,12/2/2007,0.9,4,-3.4,5.4,-3.5,1.3,3
708,12/3/2007,0.9,4.2,-4.8,-0.3,-6.6,-4.7,4
708,12/4/2007,0.9,4.2,4,9.3,-4.9,2.3,3
708,12/5/2007,0.9,4.2,4.1,12.7,1.2,5.6,3
708,12/6/2007,0.9,4.2,2.6,7.9,1.1,3.6,2
708,12/7/2007,0.9,4.2,1.1,5.9,-0.3,2,3
708,12/8/2007,1,4.4,1.5,4.8,1.1,2.5,1
708,12/9/2007,2.1,5.5,-5.5,1.6,-5.5,-0.3,9
708,12/10/2007,2.1,5.6,-1.9,-1.3,-10.1,-4.4,9
708,12/11/2007,2.6,6.1,-2.5,1.7,-2.6,-0.6,15
708,12/12/2007,2.9,6.4,-6.1,-1.5,-8.6,-4.6,17
708,12/13/2007,2.9,6.6,-12.1,-1.5,-12.3,-7.7,15
708,12/14/2007,2.9,6.6,-9.5,0.1,-12.1,-7.4,15
708,12/15/2007,2.9,6.6,-13,-4.3,-13.5,-8.4,17
708,12/16/2007,3,6.7,-11.8,-6,-17.1,-12.6,16
708,12/17/2007,3,6.7,-9,1.2,-11.9,-6.2,15
708,12/18/2007,3,6.7,-4.7,1.2,-9.9,-5.2,14
708,12/19/2007,3,6.7,-7.8,0.7,-8.9,-5.4,14
708,12/20/2007,3,6.7,-5.3,0.6,-9,-4.8,14
708,12/21/2007,3,6.7,-3.3,3.1,-7.9,-3.3,14
708,12/22/2007,3,6.8,-11,0.6,-11,-4.3,14
708,12/23/2007,3,6.8,-10.6,-3.5,-12.6,-9.3,14
708,12/24/2007,3,6.8,-11.8,-0.2,-12.2,-7.3,14
708,12/25/2007,3,6.8,-3.4,3.7,-13.1,-5.1,14
708,12/26/2007,3,6.9,-12.6,0.4,-12.8,-5.9,14
708,12/27/2007,3,6.9,-12.7,-2.7,-14.5,-9.8,14
708,12/28/2007,3,6.9,-18.7,-7.2,-18.8,-12.5,15
708,12/29/2007,3,7.1,-13,-7,-20.6,-13.9,15
708,12/30/2007,3,7.1,-9,-6.2,-15.2,-10.8,14
708,12/31/2007,3,7.1,-5.4,-1.1,-11,-5.5,14
708,1/1/2008,3,7.1,-17.3,-5,-17.8,-9.3,15
708,1/2/2008,3,7.1,-3.3,1.7,-17.7,-8.4,14
708,1/3/2008,3,7.1,-3.1,3.7,-5.3,-1.9,14
708,1/4/2008,3.1,7.1,-1.1,6.3,-3.4,-0.1,14
708,1/5/2008,3.1,7.1,-0.2,2.8,-2.4,-0.2,14
708,1/6/2008,3.6,7.3,0.3,2.5,-0.2,0.7,18
708,1/7/2008,4.3,7.8,-3.7,0.6,-3.7,-1.2,22
708,1/8/2008,5,8.2,-9.4,-1.6,-9.5,-4.6,29
708,1/9/2008,5.1,8.4,-8.4,-2.4,-11.5,-7.8,27
708,1/10/2008,5.1,8.4,-9.4,-4.2,-9.5,-7,28
