California (PST) SNOTEL Site Truckee #2 - NRCS National Water and Climate Center ,,,,,,,,
,,,,,,,,
Site Id,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
834,10/1/2007,0,0,9.6,17,-0.5,9,0
834,10/2/2007,0,0,4.2,11.5,3.4,6.9,0
834,10/3/2007,0,0,9.8,19.9,0.6,9.9,0
834,10/4/2007,0,0,6.5,17,6.2,11.2,0
834,10/5/2007,0,0,0.3,11.4,0.2,6,0
834,10/6/2007,0,0.2,-2,3.1,-2.2,-0.3,0
834,10/7/2007,0,0.2,1.3,8.8,-4,1.8,0
834,10/8/2007,0,0.2,5,17.1,-1.1,7,0
834,10/9/2007,0,0.2,9,19.1,2.5,10.3,0
834,10/10/2007,0,0.2,7.7,16.7,7.2,10.7,0
834,10/11/2007,0,0.7,0.7,8,0.4,3.7,0
834,10/12/2007,0,0.7,6,16.4,-1.1,6.3,0
834,10/13/2007,0,0.7,3.5,7.8,3,5.2,0
834,10/14/2007,0,0.7,5.8,12.7,2,6.3,0
834,10/15/2007,0,0.7,7.8,17.8,1.5,8.7,0
834,10/16/2007,0,0.7,5,11.8,3.7,7.8,0
834,10/17/2007,0,0.8,2.1,8.2,1.2,3.5,0
834,10/18/2007,0,0.9,1,5.3,0.1,1.9,0
834,10/19/2007,0,1.5,8.4,8.7,0.7,5.7,0
834,10/20/2007,0,1.6,5.4,12.8,5.4,9,0
834,10/21/2007,0,1.6,-1.4,5.6,-1.4,2,0
834,10/22/2007,0,1.6,1.5,9.5,-3,2.5,0
834,10/23/2007,0,1.6,5.6,14.4,-0.6,6.5,0
834,10/24/2007,0,1.6,7.4,20.5,4,11,0
834,10/25/2007,0,1.6,11.4,22.3,4.5,12.5,0
834,10/26/2007,0,1.6,9.7,19,7.9,12.1,0
834,10/27/2007,0,1.6,4,12.5,2.7,6.8,0
834,10/28/2007,0,1.6,6.2,15.4,2.8,7.6,0
834,10/29/2007,0,1.6,6.7,16.7,4.7,9.5,0
834,10/30/2007,0,1.9,4,12.2,3.7,6.8,0
834,10/31/2007,0,1.9,3.4,11.1,0.5,4.6,0
834,11/1/2007,0,1.9,2.6,12.1,2.1,5.4,0
834,11/2/2007,0,1.9,2.6,11.3,0.1,4.9,0
834,11/3/2007,0,1.9,2.5,11.5,-0.7,4.9,0
834,11/4/2007,0,1.9,3.2,12.5,-0.6,5.3,0
834,11/5/2007,0,1.9,4.6,16.7,-0.8,6.9,0
834,11/6/2007,0,1.9,5.3,16.7,1.8,7.7,0
834,11/7/2007,0,1.9,5.4,16,1.3,7.7,0
834,11/8/2007,0,1.9,6.2,18.6,1.8,8.9,0
834,11/9/2007,0,1.9,10,17.2,3.1,9.3,0
834,11/10/2007,0,1.9,2.5,13.2,2.1,7.5,0
834,11/11/2007,0,2.4,3.6,12.1,1.5,5.3,0
834,11/12/2007,0,2.6,-2,4.8,-2,1.7,0
