datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,0.0,A,08328950
2009-10-02 00:00:00+00:00,0.0,A,08328950
2009-10-03 00:00:00+00:00,0.0,A,08328950
2009-10-04 00:00:00+00:00,0.0,A,08328950
2009-10-05 00:00:00+00:00,0.0,A,08328950
2009-10-06 00:00:00+00:00,0.0,A,08328950
2009-10-07 00:00:00+00:00,0.0,A,08328950
2009-10-08 00:00:00+00:00,7.63,A,08328950
2009-10-09 00:00:00+00:00,0.47,A,08328950
2009-10-10 00:00:00+00:00,0.5,A,08328950
2009-10-11 00:00:00+00:00,1.11,A,08328950
2009-10-12 00:00:00+00:00,0.38,A,08328950
2009-10-13 00:00:00+00:00,0.44,A,08328950
2009-10-14 00:00:00+00:00,0.65,A,08328950
2009-10-15 00:00:00+00:00,0.83,A,08328950
2009-10-16 00:00:00+00:00,1.13,A,08328950
2009-10-17 00:00:00+00:00,0.35,A,08328950
2009-10-18 00:00:00+00:00,0.27,A,08328950
2009-10-19 00:00:00+00:00,0.0,A,08328950
2009-10-20 00:00:00+00:00,2.69,A,08328950
2009-10-21 00:00:00+00:00,13.1,A,08328950
2009-10-22 00:00:00+00:00,11.7,A,08328950
2009-10-23 00:00:00+00:00,13.0,A,08328950
2009-10-24 00:00:00+00:00,11.9,A,08328950
2009-10-25 00:00:00+00:00,11.8,A,08328950
2009-10-26 00:00:00+00:00,8.82,A,08328950
2009-10-27 00:00:00+00:00,6.95,A,08328950
2009-10-28 00:00:00+00:00,6.74,A,08328950
2009-10-29 00:00:00+00:00,5.05,A,08328950
2009-10-30 00:00:00+00:00,4.7,A,08328950
2009-10-31 00:00:00+00:00,5.5,A,08328950
2009-11-01 00:00:00+00:00,6.5,A,08328950
2009-11-02 00:00:00+00:00,7.85,A,08328950
2009-11-03 00:00:00+00:00,7.41,A,08328950
2009-11-04 00:00:00+00:00,7.83,A,08328950
2009-11-05 00:00:00+00:00,6.9,A,08328950
