datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,714.0,A,13340600
2009-10-02 00:00:00+00:00,719.0,A,13340600
2009-10-03 00:00:00+00:00,748.0,A,13340600
2009-10-04 00:00:00+00:00,725.0,A,13340600
2009-10-05 00:00:00+00:00,682.0,A,13340600
2009-10-06 00:00:00+00:00,674.0,A,13340600
2009-10-07 00:00:00+00:00,684.0,A,13340600
2009-10-08 00:00:00+00:00,733.0,A,13340600
2009-10-09 00:00:00+00:00,718.0,A,13340600
2009-10-10 00:00:00+00:00,695.0,A,13340600
2009-10-11 00:00:00+00:00,638.0,A,13340600
2009-10-12 00:00:00+00:00,580.0,A,13340600
2009-10-13 00:00:00+00:00,684.0,A,13340600
2009-10-14 00:00:00+00:00,945.0,A,13340600
2009-10-15 00:00:00+00:00,1270.0,A,13340600
2009-10-16 00:00:00+00:00,928.0,A,13340600
2009-10-17 00:00:00+00:00,805.0,A,13340600
2009-10-18 00:00:00+00:00,791.0,A,13340600
2009-10-19 00:00:00+00:00,782.0,A,13340600
2009-10-20 00:00:00+00:00,753.0,A,13340600
2009-10-21 00:00:00+00:00,748.0,A,13340600
2009-10-22 00:00:00+00:00,784.0,A,13340600
2009-10-23 00:00:00+00:00,862.0,A,13340600
2009-10-24 00:00:00+00:00,1360.0,A,13340600
2009-10-25 00:00:00+00:00,1180.0,A,13340600
2009-10-26 00:00:00+00:00,945.0,A,13340600
2009-10-27 00:00:00+00:00,1190.0,A,13340600
2009-10-28 00:00:00+00:00,1040.0,A,13340600
2009-10-29 00:00:00+00:00,883.0,A,13340600
2009-10-30 00:00:00+00:00,919.0,A,13340600
2009-10-31 00:00:00+00:00,1450.0,A,13340600
2009-11-01 00:00:00+00:00,1790.0,A,13340600
2009-11-02 00:00:00+00:00,1230.0,A,13340600
2009-11-03 00:00:00+00:00,1040.0,A,13340600
2009-11-04 00:00:00+00:00,958.0,A,13340600
2009-11-05 00:00:00+00:00,905.0,A,13340600
2009-11-06 00:00:00+00:00,1020.0,A,13340600
2009-11-07 00:00:00+00:00,1220.0,A,13340600
2009-11-08 00:00:00+00:00,1120.0,A,13340600
2009-11-09 00:00:00+00:00,1050.0,A,13340600
2009-11-10 00:00:00+00:00,1010.0,A,13340600
2009-11-11 00:00:00+00:00,1050.0,A,13340600
2009-11-12 00:00:00+00:00,1080.0,A,13340600
2009-11-13 00:00:00+00:00,972.0,A,13340600
2009-11-14 00:00:00+00:00,927.0,A,13340600
2009-11-15 00:00:00+00:00,872.0,A,13340600
2009-11-16 00:00:00+00:00,867.0,A,13340600
2009-11-17 00:00:00+00:00,905.0,A,13340600
2009-11-18 00:00:00+00:00,924.0,A,13340600
2009-11-19 00:00:00+00:00,889.0,A,13340600
2009-11-20 00:00:00+00:00,834.0,A,13340600
2009-11-21 00:00:00+00:00,919.0,A,13340600
2009-11-22 00:00:00+00:00,871.0,A,13340600
2009-11-23 00:00:00+00:00,850.0,A,13340600
2009-11-24 00:00:00+00:00,919.0,A,13340600
2009-11-25 00:00:00+00:00,899.0,A,13340600
2009-11-26 00:00:00+00:00,919.0,A,13340600
2009-11-27 00:00:00+00:00,938.0,A,13340600
2009-11-28 00:00:00+00:00,983.0,A,13340600
2009-11-29 00:00:00+00:00,906.0,A,13340600
2009-11-30 00:00:00+00:00,877.0,A,13340600
2009-12-01 00:00:00+00:00,869.0,A,13340600
2009-12-02 00:00:00+00:00,753.0,A,13340600
2009-12-03 00:00:00+00:00,390.0,A,13340600
2009-12-04 00:00:00+00:00,230.0,"A, e",13340600
2009-12-05 00:00:00+00:00,190.0,"A, e",13340600
2009-12-06 00:00:00+00:00,250.0,"A, e",13340600
2009-12-07 00:00:00+00:00,220.0,"A, e",13340600
2009-12-08 00:00:00+00:00,190.0,"A, e",13340600
2009-12-09 00:00:00+00:00,170.0,"A, e",13340600
2009-12-10 00:00:00+00:00,170.0,"A, e",13340600
2009-12-11 00:00:00+00:00,200.0,"A, e",13340600
2009-12-12 00:00:00+00:00,300.0,"A, e",13340600
2009-12-13 00:00:00+00:00,280.0,"A, e",13340600
2009-12-14 00:00:00+00:00,350.0,"A, e",13340600
2009-12-15 00:00:00+00:00,550.0,"A, e",13340600
2009-12-16 00:00:00+00:00,700.0,"A, e",13340600
2009-12-17 00:00:00+00:00,900.0,"A, e",13340600
2009-12-18 00:00:00+00:00,1100.0,"A, e",13340600
2009-12-19 00:00:00+00:00,1050.0,"A, e",13340600
2009-12-20 00:00:00+00:00,1100.0,"A, e",13340600
2009-12-21 00:00:00+00:00,1250.0,"A, e",13340600
2009-12-22 00:00:00+00:00,1600.0,"A, e",13340600
2009-12-23 00:00:00+00:00,1520.0,A,13340600
2009-12-24 00:00:00+00:00,1200.0,A,13340600
2009-12-25 00:00:00+00:00,910.0,"A, e",13340600
2009-12-26 00:00:00+00:00,760.0,"A, e",13340600
2009-12-27 00:00:00+00:00,580.0,"A, e",13340600
2009-12-28 00:00:00+00:00,620.0,"A, e",13340600
2009-12-29 00:00:00+00:00,700.0,"A, e",13340600
2009-12-30 00:00:00+00:00,770.0,"A, e",13340600
2009-12-31 00:00:00+00:00,850.0,"A, e",13340600
2010-01-01 00:00:00+00:00,950.0,"A, e",13340600
2010-01-02 00:00:00+00:00,1000.0,"A, e",13340600
2010-01-03 00:00:00+00:00,1000.0,"A, e",13340600
2010-01-04 00:00:00+00:00,1020.0,A,13340600
2010-01-05 00:00:00+00:00,1090.0,A,13340600
2010-01-06 00:00:00+00:00,1230.0,A,13340600
2010-01-07 00:00:00+00:00,1040.0,A,13340600
2010-01-08 00:00:00+00:00,945.0,A,13340600
2010-01-09 00:00:00+00:00,920.0,"A, e",13340600
2010-01-10 00:00:00+00:00,920.0,"A, e",13340600
2010-01-11 00:00:00+00:00,950.0,"A, e",13340600
2010-01-12 00:00:00+00:00,1110.0,A,13340600
2010-01-13 00:00:00+00:00,1380.0,A,13340600
2010-01-14 00:00:00+00:00,1500.0,"A, e",13340600
2010-01-15 00:00:00+00:00,1550.0,"A, e",13340600
2010-01-16 00:00:00+00:00,1470.0,A,13340600
2010-01-17 00:00:00+00:00,1510.0,A,13340600
2010-01-18 00:00:00+00:00,1430.0,A,13340600
2010-01-19 00:00:00+00:00,1360.0,A,13340600
2010-01-20 00:00:00+00:00,1290.0,A,13340600
2010-01-21 00:00:00+00:00,1210.0,A,13340600
2010-01-22 00:00:00+00:00,1140.0,A,13340600
2010-01-23 00:00:00+00:00,1140.0,A,13340600
2010-01-24 00:00:00+00:00,1090.0,A,13340600
2010-01-25 00:00:00+00:00,1060.0,A,13340600
