datetime,00060_Mean,00060_Mean_cd,site_no
2019-10-03 00:00:00+00:00,120.0,P,14101500
2019-10-04 00:00:00+00:00,119.0,P,14101500
2019-10-05 00:00:00+00:00,120.0,P,14101500
2019-10-06 00:00:00+00:00,116.0,P,14101500
2019-10-07 00:00:00+00:00,114.0,P,14101500
2019-10-08 00:00:00+00:00,118.0,P,14101500
2019-10-09 00:00:00+00:00,126.0,P,14101500
2019-10-10 00:00:00+00:00,119.0,P,14101500
2019-10-11 00:00:00+00:00,117.0,P,14101500
2019-10-12 00:00:00+00:00,115.0,P,14101500
2019-10-13 00:00:00+00:00,114.0,P,14101500
2019-10-14 00:00:00+00:00,112.0,P,14101500
2019-10-15 00:00:00+00:00,112.0,P,14101500
2019-10-16 00:00:00+00:00,114.0,P,14101500
2019-10-17 00:00:00+00:00,119.0,P,14101500
2019-10-18 00:00:00+00:00,128.0,P,14101500
2019-10-19 00:00:00+00:00,169.0,P,14101500
2019-10-20 00:00:00+00:00,224.0,P,14101500
2019-10-21 00:00:00+00:00,182.0,P,14101500
2019-10-22 00:00:00+00:00,208.0,P,14101500
2019-10-23 00:00:00+00:00,205.0,P,14101500
2019-10-24 00:00:00+00:00,162.0,P,14101500
2019-10-25 00:00:00+00:00,148.0,P,14101500
2019-10-26 00:00:00+00:00,142.0,P,14101500
2019-10-27 00:00:00+00:00,137.0,P,14101500
2019-10-28 00:00:00+00:00,133.0,P,14101500
2019-10-29 00:00:00+00:00,130.0,P,14101500
2019-10-30 00:00:00+00:00,123.0,P,14101500
2019-10-31 00:00:00+00:00,126.0,P,14101500
2019-11-01 00:00:00+00:00,125.0,P,14101500
2019-11-02 00:00:00+00:00,125.0,P,14101500
2019-11-03 00:00:00+00:00,127.0,P,14101500
2019-11-04 00:00:00+00:00,125.0,P,14101500
2019-11-05 00:00:00+00:00,123.0,P,14101500
2019-11-06 00:00:00+00:00,121.0,P,14101500
2019-11-07 00:00:00+00:00,119.0,P,14101500
2019-11-08 00:00:00+00:00,118.0,P,14101500
2019-11-09 00:00:00+00:00,118.0,P,14101500
2019-11-10 00:00:00+00:00,117.0,P,14101500
2019-11-11 00:00:00+00:00,116.0,P,14101500
2019-11-12 00:00:00+00:00,117.0,P,14101500
2019-11-13 00:00:00+00:00,119.0,P,14101500
2019-11-14 00:00:00+00:00,119.0,P,14101500
2019-11-15 00:00:00+00:00,118.0,P,14101500
2019-11-16 00:00:00+00:00,126.0,P,14101500
2019-11-17 00:00:00+00:00,125.0,P,14101500
2019-11-18 00:00:00+00:00,123.0,P,14101500
2019-11-19 00:00:00+00:00,127.0,P,14101500
2019-11-20 00:00:00+00:00,132.0,P,14101500
2019-11-21 00:00:00+00:00,123.0,P,14101500
2019-11-22 00:00:00+00:00,121.0,P,14101500
2019-11-23 00:00:00+00:00,118.0,P,14101500
2019-11-24 00:00:00+00:00,118.0,P,14101500
2019-11-25 00:00:00+00:00,118.0,P,14101500
2019-11-26 00:00:00+00:00,119.0,P,14101500
2019-11-27 00:00:00+00:00,123.0,P,14101500
2019-11-28 00:00:00+00:00,121.0,P,14101500
2019-11-29 00:00:00+00:00,115.0,P,14101500
2019-11-30 00:00:00+00:00,102.0,P,14101500
2019-12-01 00:00:00+00:00,118.0,P,14101500
2019-12-02 00:00:00+00:00,119.0,P,14101500
2019-12-03 00:00:00+00:00,116.0,P,14101500
2019-12-04 00:00:00+00:00,123.0,P,14101500
2019-12-05 00:00:00+00:00,123.0,P,14101500
2019-12-06 00:00:00+00:00,121.0,P,14101500
2019-12-07 00:00:00+00:00,131.0,P,14101500
2019-12-08 00:00:00+00:00,141.0,P,14101500
2019-12-09 00:00:00+00:00,139.0,P,14101500
2019-12-10 00:00:00+00:00,131.0,P,14101500
2019-12-11 00:00:00+00:00,136.0,P,14101500
2019-12-12 00:00:00+00:00,183.0,P,14101500
2019-12-13 00:00:00+00:00,229.0,P,14101500
2019-12-14 00:00:00+00:00,192.0,P,14101500
2019-12-15 00:00:00+00:00,171.0,P,14101500
2019-12-16 00:00:00+00:00,155.0,P,14101500
2019-12-17 00:00:00+00:00,147.0,P,14101500
2019-12-18 00:00:00+00:00,143.0,P,14101500
2019-12-19 00:00:00+00:00,147.0,P,14101500
2019-12-20 00:00:00+00:00,212.0,P,14101500
2019-12-21 00:00:00+00:00,225.0,P,14101500
2019-12-22 00:00:00+00:00,209.0,P,14101500
2019-12-23 00:00:00+00:00,193.0,P,14101500
2019-12-24 00:00:00+00:00,178.0,P,14101500
2019-12-25 00:00:00+00:00,169.0,P,14101500
2019-12-26 00:00:00+00:00,161.0,P,14101500
2019-12-27 00:00:00+00:00,154.0,P,14101500
2019-12-28 00:00:00+00:00,149.0,P,14101500
2019-12-29 00:00:00+00:00,145.0,P,14101500
2019-12-30 00:00:00+00:00,142.0,P,14101500
2019-12-31 00:00:00+00:00,135.0,P,14101500
2020-01-01 00:00:00+00:00,471.0,P,14101500
2020-01-02 00:00:00+00:00,520.0,P,14101500
2020-01-03 00:00:00+00:00,353.0,P,14101500
2020-01-04 00:00:00+00:00,299.0,P,14101500
2020-01-05 00:00:00+00:00,265.0,P,14101500
2020-01-06 00:00:00+00:00,252.0,P,14101500
2020-01-07 00:00:00+00:00,300.0,P,14101500
2020-01-08 00:00:00+00:00,319.0,P,14101500
2020-01-09 00:00:00+00:00,294.0,P,14101500
2020-01-10 00:00:00+00:00,280.0,P,14101500
2020-01-11 00:00:00+00:00,301.0,P,14101500
2020-01-12 00:00:00+00:00,294.0,P,14101500
2020-01-13 00:00:00+00:00,273.0,P,14101500
2020-01-14 00:00:00+00:00,256.0,P,14101500
2020-01-15 00:00:00+00:00,232.0,P,14101500
2020-01-16 00:00:00+00:00,228.0,P,14101500
2020-01-17 00:00:00+00:00,213.0,P,14101500
2020-01-18 00:00:00+00:00,208.0,P,14101500
2020-01-19 00:00:00+00:00,208.0,P,14101500
2020-01-20 00:00:00+00:00,229.0,P,14101500
2020-01-21 00:00:00+00:00,224.0,P,14101500
2020-01-22 00:00:00+00:00,221.0,P,14101500
2020-01-23 00:00:00+00:00,270.0,P,14101500
2020-01-24 00:00:00+00:00,418.0,P,14101500
2020-01-25 00:00:00+00:00,458.0,P,14101500
2020-01-26 00:00:00+00:00,508.0,P,14101500
2020-01-27 00:00:00+00:00,551.0,P,14101500
2020-01-28 00:00:00+00:00,706.0,P,14101500
2020-01-29 00:00:00+00:00,819.0,P,14101500
2020-01-30 00:00:00+00:00,788.0,P,14101500
2020-01-31 00:00:00+00:00,729.0,P,14101500
2020-02-01 00:00:00+00:00,928.0,P,14101500
2020-02-02 00:00:00+00:00,1050.0,P,14101500
2020-02-03 00:00:00+00:00,805.0,P,14101500
2020-02-04 00:00:00+00:00,639.0,P,14101500
2020-02-05 00:00:00+00:00,598.0,P,14101500
2020-02-06 00:00:00+00:00,857.0,P,14101500
2020-02-07 00:00:00+00:00,1800.0,P,14101500
2020-02-08 00:00:00+00:00,1680.0,P,14101500
2020-02-09 00:00:00+00:00,1140.0,P,14101500
2020-02-10 00:00:00+00:00,881.0,P,14101500
2020-02-11 00:00:00+00:00,687.0,P,14101500
2020-02-12 00:00:00+00:00,563.0,P,14101500
2020-02-13 00:00:00+00:00,482.0,P,14101500
2020-02-14 00:00:00+00:00,435.0,P,14101500
2020-02-15 00:00:00+00:00,396.0,P,14101500
2020-02-16 00:00:00+00:00,395.0,P,14101500
2020-02-17 00:00:00+00:00,355.0,P,14101500
2020-02-18 00:00:00+00:00,359.0,P,14101500
2020-02-19 00:00:00+00:00,357.0,P,14101500
2020-02-20 00:00:00+00:00,334.0,P,14101500
2020-02-21 00:00:00+00:00,322.0,P,14101500
2020-02-22 00:00:00+00:00,292.0,P,14101500
2020-02-23 00:00:00+00:00,288.0,P,14101500
2020-02-24 00:00:00+00:00,300.0,P,14101500
2020-02-25 00:00:00+00:00,272.0,P,14101500
2020-02-26 00:00:00+00:00,276.0,P,14101500
2020-02-27 00:00:00+00:00,273.0,P,14101500
2020-02-28 00:00:00+00:00,282.0,P,14101500
2020-02-29 00:00:00+00:00,267.0,P,14101500
2020-03-01 00:00:00+00:00,257.0,P,14101500
2020-03-02 00:00:00+00:00,251.0,P,14101500
2020-03-03 00:00:00+00:00,259.0,P,14101500
2020-03-04 00:00:00+00:00,290.0,P,14101500
2020-03-05 00:00:00+00:00,285.0,P,14101500
2020-03-06 00:00:00+00:00,292.0,P,14101500
2020-03-07 00:00:00+00:00,294.0,P,14101500
2020-03-08 00:00:00+00:00,279.0,P,14101500
2020-03-09 00:00:00+00:00,271.0,P,14101500
2020-03-10 00:00:00+00:00,280.0,P,14101500
2020-03-11 00:00:00+00:00,273.0,P,14101500
2020-03-12 00:00:00+00:00,263.0,P,14101500
2020-03-13 00:00:00+00:00,263.0,P,14101500
2020-03-14 00:00:00+00:00,277.0,P,14101500
2020-03-15 00:00:00+00:00,256.0,P,14101500
2020-03-16 00:00:00+00:00,243.0,P,14101500
2020-03-17 00:00:00+00:00,231.0,P,14101500
2020-03-18 00:00:00+00:00,224.0,P,14101500
2020-03-19 00:00:00+00:00,218.0,P,14101500
2020-03-20 00:00:00+00:00,215.0,P,14101500
2020-03-21 00:00:00+00:00,218.0,P,14101500
2020-03-22 00:00:00+00:00,222.0,P,14101500
2020-03-23 00:00:00+00:00,219.0,P,14101500
2020-03-24 00:00:00+00:00,222.0,P,14101500
2020-03-25 00:00:00+00:00,220.0,P,14101500
2020-03-26 00:00:00+00:00,201.0,P,14101500
2020-03-27 00:00:00+00:00,195.0,P,14101500
2020-03-28 00:00:00+00:00,196.0,P,14101500
2020-03-29 00:00:00+00:00,205.0,P,14101500
2020-03-30 00:00:00+00:00,239.0,P,14101500
2020-03-31 00:00:00+00:00,272.0,P,14101500
2020-04-01 00:00:00+00:00,262.0,P,14101500
2020-04-02 00:00:00+00:00,246.0,P,14101500
2020-04-03 00:00:00+00:00,239.0,P,14101500
2020-04-04 00:00:00+00:00,234.0,P,14101500
2020-04-05 00:00:00+00:00,237.0,P,14101500
2020-04-06 00:00:00+00:00,239.0,P,14101500
2020-04-07 00:00:00+00:00,221.0,P,14101500
2020-04-08 00:00:00+00:00,223.0,P,14101500
2020-04-09 00:00:00+00:00,234.0,P,14101500
2020-04-10 00:00:00+00:00,258.0,P,14101500
2020-04-11 00:00:00+00:00,296.0,P,14101500
